Observation unit ID	Date	TubN_total_per_plant	TubW_total_per_plant	TubN_average_per_genotype	TubW_average_per_genotype
WUR:CE-NL99-WUR:CE628-1	1999-11-14	89	2212.05		
WUR:CE-NL99-WUR:CE628-2	1999-11-14	65	1934.12		
WUR:CE-NL99-WUR:CE629-1	1999-11-14	139	2421.54		
WUR:CE-NL99-WUR:CE629-2	1999-11-14	136	2337.45		
WUR:CE-NL99-WUR:CE630-1	1999-11-14	52	2767.77		
WUR:CE-NL99-WUR:CE630-2	1999-11-14	84	2865.74		
WUR:CE-NL99-WUR:CE631-1	1999-11-14	55	1954.74		
WUR:CE-NL99-WUR:CE631-2	1999-11-14	46	2075.14		
WUR:CE-NL99-WUR:CE632-1	1999-11-14	28	935.36		
WUR:CE-NL99-WUR:CE632-2	1999-11-14	70	1957.54		
WUR:CE-NL99-WUR:CE633-1	1999-11-14	48	1281.32		
WUR:CE-NL99-WUR:CE633-2	1999-11-14	57	1692.88		
WUR:CE-NL99-WUR:CE634-1	1999-11-14	30	828.6		
WUR:CE-NL99-WUR:CE634-2	1999-11-14	37	1779.8		
WUR:CE-NL99-WUR:CE635-1	1999-11-14	45	871.5		
WUR:CE-NL99-WUR:CE635-2	1999-11-14	69	868.9		
WUR:CE-NL99-WUR:CE636-1	1999-11-14	55	1980.79		
WUR:CE-NL99-WUR:CE636-2	1999-11-14	46	1575.1		
WUR:CE-NL99-WUR:CE637-1	1999-11-14	42	1833.15		
WUR:CE-NL99-WUR:CE637-2	1999-11-14	45	2628.33		
WUR:CE-NL99-WUR:CE638-1	1999-11-14	20	244.04		
WUR:CE-NL99-WUR:CE638-2	1999-11-14	45	468.11		
WUR:CE-NL99-WUR:CE639-1	1999-11-14	67	1586.2		
WUR:CE-NL99-WUR:CE639-2	1999-11-14				
WUR:CE-NL99-WUR:CE640-1	1999-11-14	44	747.11		
WUR:CE-NL99-WUR:CE640-2	1999-11-14	70	1588.1		
WUR:CE-NL99-WUR:CE641-1	1999-11-14	50	2247.52		
WUR:CE-NL99-WUR:CE641-2	1999-11-14	32	179.07		
WUR:CE-NL99-WUR:CE642-1	1999-11-14				
WUR:CE-NL99-WUR:CE642-2	1999-11-14	35	756		
WUR:CE-NL99-WUR:CE643-1	1999-11-14	54	1725.66		
WUR:CE-NL99-WUR:CE643-2	1999-11-14	24	692.79		
WUR:CE-NL99-WUR:CE644-1	1999-11-14	119	1641.39		
WUR:CE-NL99-WUR:CE644-2	1999-11-14	73	1506.53		
WUR:CE-NL99-WUR:CE645-1	1999-11-14	11	116.5		
WUR:CE-NL99-WUR:CE645-2	1999-11-14	15	198.3		
WUR:CE-NL99-WUR:CE646-1	1999-11-14	27	616.24		
WUR:CE-NL99-WUR:CE646-2	1999-11-14	29	677		
WUR:CE-NL99-WUR:CE647-1	1999-11-14	92	1576.88		
WUR:CE-NL99-WUR:CE647-2	1999-11-14	162	2316.17		
WUR:CE-NL99-WUR:CE648-1	1999-11-14	25	891.4		
WUR:CE-NL99-WUR:CE648-2	1999-11-14	61	2306.5		
WUR:CE-NL99-WUR:CE649-1	1999-11-14				
WUR:CE-NL99-WUR:CE649-2	1999-11-14	66	3723.74		
WUR:CE-NL99-WUR:CE650-1	1999-11-14	70	1297.5		
WUR:CE-NL99-WUR:CE650-2	1999-11-14	76	1906.6		
WUR:CE-NL99-WUR:CE651-1	1999-11-14	30	1320.08		
WUR:CE-NL99-WUR:CE651-2	1999-11-14	34	1438.07		
WUR:CE-NL99-WUR:CE652-1	1999-11-14	39	1303.5		
WUR:CE-NL99-WUR:CE652-2	1999-11-14	66	2215.1		
WUR:CE-NL99-WUR:CE653-1	1999-11-14				
WUR:CE-NL99-WUR:CE653-2	1999-11-14				
WUR:CE-NL99-WUR:CE654-1	1999-11-14	50	1578.28		
WUR:CE-NL99-WUR:CE654-2	1999-11-14	166	1842.66		
WUR:CE-NL99-WUR:CE655-1	1999-11-14	23	353.98		
WUR:CE-NL99-WUR:CE655-2	1999-11-14	26	370.49		
WUR:CE-NL99-WUR:CE656-1	1999-11-14	44	858.21		
WUR:CE-NL99-WUR:CE656-2	1999-11-14	48	756.87		
WUR:CE-NL99-WUR:CE657-1	1999-11-14	15	221.8		
WUR:CE-NL99-WUR:CE657-2	1999-11-14	24	1330.8		
WUR:CE-NL99-WUR:CE658-1	1999-11-14	37	1875.4		
WUR:CE-NL99-WUR:CE658-2	1999-11-14	52	1742.9		
WUR:CE-NL99-WUR:CE659-1	1999-11-14	50	867.02		
WUR:CE-NL99-WUR:CE659-2	1999-11-14	39	793.78		
WUR:CE-NL99-WUR:CE660-1	1999-11-14	135	2700.4		
WUR:CE-NL99-WUR:CE660-2	1999-11-14	78	776.94		
WUR:CE-NL99-WUR:CE661-1	1999-11-14	29	674.25		
WUR:CE-NL99-WUR:CE661-2	1999-11-14	78	2245.78		
WUR:CE-NL99-WUR:CE663-1	1999-11-14	93	1519.86		
WUR:CE-NL99-WUR:CE663-2	1999-11-14	31	1085.34		
WUR:CE-NL99-WUR:CE664-1	1999-11-14	81	1849.2		
WUR:CE-NL99-WUR:CE664-2	1999-11-14	42	1074.1		
WUR:CE-NL99-WUR:CE665-1	1999-11-14	69	847.27		
WUR:CE-NL99-WUR:CE665-2	1999-11-14	84	2122.51		
WUR:CE-NL99-WUR:CE666-1	1999-11-14	82	2212.72		
WUR:CE-NL99-WUR:CE666-2	1999-11-14	64	1604.6		
WUR:CE-NL99-WUR:CE667-1	1999-11-14	106	2509		
WUR:CE-NL99-WUR:CE667-2	1999-11-14	46	2256.87		
WUR:CE-NL99-WUR:CE668-1	1999-11-14	24	950.49		
WUR:CE-NL99-WUR:CE668-2	1999-11-14	32	757.69		
WUR:CE-NL99-WUR:CE669-1	1999-11-14	21	602.91		
WUR:CE-NL99-WUR:CE669-2	1999-11-14	89	1790.97		
WUR:CE-NL99-WUR:CE670-1	1999-11-14	29	699.91		
WUR:CE-NL99-WUR:CE670-2	1999-11-14	19	166.14		
WUR:CE-NL99-WUR:CE671-1	1999-11-14	66	374.89		
WUR:CE-NL99-WUR:CE671-2	1999-11-14	80	1459.03		
WUR:CE-NL99-WUR:CE672-1	1999-11-14	24	304		
WUR:CE-NL99-WUR:CE672-2	1999-11-14	31	571.1		
WUR:CE-NL99-WUR:CE673-1	1999-11-14	71	3539.46		
WUR:CE-NL99-WUR:CE673-2	1999-11-14	43	1510.4		
WUR:CE-NL99-WUR:CE674-1	1999-11-14	124	4033.75		
WUR:CE-NL99-WUR:CE674-2	1999-11-14	102	2822.54		
WUR:CE-NL99-WUR:CE675-1	1999-11-14	137	1863.34		
WUR:CE-NL99-WUR:CE675-2	1999-11-14	61	1596.75		
WUR:CE-NL99-WUR:CE676-1	1999-11-14				
WUR:CE-NL99-WUR:CE676-2	1999-11-14				
WUR:CE-NL99-WUR:CE677-1	1999-11-14	44	933.51		
WUR:CE-NL99-WUR:CE677-2	1999-11-14	89	1719.65		
WUR:CE-NL99-WUR:CE678-1	1999-11-14	59	978.24		
WUR:CE-NL99-WUR:CE678-2	1999-11-14	40	259.29		
WUR:CE-NL99-WUR:CE679-1	1999-11-14	20	100		
WUR:CE-NL99-WUR:CE679-2	1999-11-14	51	861		
WUR:CE-NL99-WUR:CE680-1	1999-11-14	62	2591.43		
WUR:CE-NL99-WUR:CE680-2	1999-11-14	45	1883.94		
WUR:CE-NL99-WUR:CE681-1	1999-11-14	39	894.41		
WUR:CE-NL99-WUR:CE681-2	1999-11-14	45	1560.33		
WUR:CE-NL99-WUR:CE682-1	1999-11-14	68	1687.02		
WUR:CE-NL99-WUR:CE682-2	1999-11-14	369	2750.4		
WUR:CE-NL99-WUR:CE683-1	1999-11-14	129	2469.8		
WUR:CE-NL99-WUR:CE683-2	1999-11-14	124	1553.2		
WUR:CE-NL99-WUR:CE684-1	1999-11-14	51	1298.62		
WUR:CE-NL99-WUR:CE684-2	1999-11-14	8	95.29		
WUR:CE-NL99-WUR:CE685-1	1999-11-14	57	1202.35		
WUR:CE-NL99-WUR:CE685-2	1999-11-14				
WUR:CE-NL99-WUR:CE686-1	1999-11-14	35	2110.2		
WUR:CE-NL99-WUR:CE686-2	1999-11-14	32	1898.7		
WUR:CE-NL99-WUR:CE687-1	1999-11-14	41	1330.8		
WUR:CE-NL99-WUR:CE687-2	1999-11-14	119	2429.5		
WUR:CE-NL99-WUR:CE688-1	1999-11-14	35	2324.5		
WUR:CE-NL99-WUR:CE688-2	1999-11-14	70	2703.44		
WUR:CE-NL99-WUR:CE689-1	1999-11-14	22	715.66		
WUR:CE-NL99-WUR:CE689-2	1999-11-14	19	343.22		
WUR:CE-NL99-WUR:CE690-1	1999-11-14	52	1772.3		
WUR:CE-NL99-WUR:CE690-2	1999-11-14	183	2168.9		
WUR:CE-NL99-WUR:CE691-1	1999-11-14	112	3404.56		
WUR:CE-NL99-WUR:CE691-2	1999-11-14	78	2048.48		
WUR:CE-NL99-WUR:CE692-1	1999-11-14	33	1996.45		
WUR:CE-NL99-WUR:CE692-2	1999-11-14	74	2200.96		
WUR:CE-NL99-WUR:CE693-1	1999-11-14	58	1691.75		
WUR:CE-NL99-WUR:CE693-2	1999-11-14	73	1645.9		
WUR:CE-NL99-WUR:CE694-1	1999-11-14	128	1980.41		
WUR:CE-NL99-WUR:CE694-2	1999-11-14	51	932.05		
WUR:CE-NL99-WUR:CE695-1	1999-11-14	38	654.55		
WUR:CE-NL99-WUR:CE695-2	1999-11-14				
WUR:CE-NL99-WUR:CE696-1	1999-11-14	38	1787.38		
WUR:CE-NL99-WUR:CE696-2	1999-11-14	18	891.6		
WUR:CE-NL99-WUR:CE697-1	1999-11-14	72	1425.29		
WUR:CE-NL99-WUR:CE697-2	1999-11-14	36	1160.66		
WUR:CE-NL99-WUR:CE698-1	1999-11-14	67	2166.7		
WUR:CE-NL99-WUR:CE698-2	1999-11-14	84	3382.3		
WUR:CE-NL99-WUR:CE699-1	1999-11-14	59	625.57		
WUR:CE-NL99-WUR:CE699-2	1999-11-14	119	1383.84		
WUR:CE-NL99-WUR:CE700-1	1999-11-14	48	1805.98		
WUR:CE-NL99-WUR:CE700-2	1999-11-14	67	1531.03		
WUR:CE-NL99-WUR:CE701-1	1999-11-14	11	569.11		
WUR:CE-NL99-WUR:CE701-2	1999-11-14	77	3899.18		
WUR:CE-NL99-WUR:CE702-1	1999-11-14	23	864.61		
WUR:CE-NL99-WUR:CE702-2	1999-11-14	22	961.78		
WUR:CE-NL99-WUR:CE703-1	1999-11-14	55	2387.16		
WUR:CE-NL99-WUR:CE703-2	1999-11-14	37	2057.04		
WUR:CE-NL99-WUR:CE704-1	1999-11-14				
WUR:CE-NL99-WUR:CE704-2	1999-11-14				
WUR:CE-NL99-WUR:CE706-1	1999-11-14	38	613.77		
WUR:CE-NL99-WUR:CE706-2	1999-11-14	31	534.74		
WUR:CE-NL99-WUR:CE707-1	1999-11-14	103	1861.14		
WUR:CE-NL99-WUR:CE707-2	1999-11-14	212	4220.2		
WUR:CE-NL99-WUR:CE709-1	1999-11-14	96	2893		
WUR:CE-NL99-WUR:CE709-2	1999-11-14	29	1079.6		
WUR:CE-NL99-WUR:CE710-1	1999-11-14	61	1722.07		
WUR:CE-NL99-WUR:CE710-2	1999-11-14	67	1211.84		
WUR:CE-NL99-WUR:CE711-1	1999-11-14		2148.8		
WUR:CE-NL99-WUR:CE711-2	1999-11-14	82	1893.07		
WUR:CE-NL99-WUR:CE712-1	1999-11-14	108	2039.47		
WUR:CE-NL99-WUR:CE712-2	1999-11-14	59	1595.56		
WUR:CE-NL99-WUR:CE713-1	1999-11-14	210	1503.1		
WUR:CE-NL99-WUR:CE713-2	1999-11-14	212	2530.59		
WUR:CE-NL99-WUR:CE714-1	1999-11-14	145	2586.4		
WUR:CE-NL99-WUR:CE714-2	1999-11-14				
WUR:CE-NL99-WUR:CE715-1	1999-11-14	19	1856.3		
WUR:CE-NL99-WUR:CE715-2	1999-11-14	13	679.8		
WUR:CE-NL99-WUR:CE716-1	1999-11-14	22	1117.75		
WUR:CE-NL99-WUR:CE716-2	1999-11-14	45	387.12		
WUR:CE-NL99-WUR:CE717-1	1999-11-14	36	1835.33		
WUR:CE-NL99-WUR:CE717-2	1999-11-14	38	2470.77		
WUR:CE-NL99-WUR:CE718-1	1999-11-14	59	1704.8		
WUR:CE-NL99-WUR:CE718-2	1999-11-14	35	939.71		
WUR:CE-NL99-WUR:CE719-1	1999-11-14	83	1762.93		
WUR:CE-NL99-WUR:CE719-2	1999-11-14	92	1820.59		
WUR:CE-NL99-WUR:CE720-1	1999-11-14	79	1285.6		
WUR:CE-NL99-WUR:CE720-2	1999-11-14	77	1696.5		
WUR:CE-NL99-WUR:CE721-1	1999-11-14	35	708.87		
WUR:CE-NL99-WUR:CE721-2	1999-11-14	29	587.6		
WUR:CE-NL99-WUR:CE722-1	1999-11-14	16	657		
WUR:CE-NL99-WUR:CE722-2	1999-11-14	40	645.5		
WUR:CE-NL99-WUR:CE723-1	1999-11-14	120	1600.9		
WUR:CE-NL99-WUR:CE723-2	1999-11-14	45	994.85		
WUR:CE-NL99-WUR:CE724-1	1999-11-14	41	2932.8		
WUR:CE-NL99-WUR:CE724-2	1999-11-14	48	1235		
WUR:CE-NL99-WUR:CE725-1	1999-11-14	63	1240.63		
WUR:CE-NL99-WUR:CE725-2	1999-11-14	71	1336.33		
WUR:CE-NL99-WUR:CE726-1	1999-11-14	14	230.3		
WUR:CE-NL99-WUR:CE726-2	1999-11-14	100	2229.6		
WUR:CE-NL99-WUR:CE727-1	1999-11-14	63	1318.1		
WUR:CE-NL99-WUR:CE727-2	1999-11-14	51	2228.09		
WUR:CE-NL99-WUR:CE728-1	1999-11-14	67	1323		
WUR:CE-NL99-WUR:CE728-2	1999-11-14	165	2310.2		
WUR:CE-NL99-WUR:CE729-1	1999-11-14	54	1442.5		
WUR:CE-NL99-WUR:CE729-2	1999-11-14	50	1882.7		
