Observation unit ID	Date	DoE	NumMainStems	PlantHeight	TubSizeN_12-20	TubSizeN_21-30	TubSizeN_31-40	TubSizeN_41-50	TubSizeN_51-60	TubSizeN_61-70	TubSizeW_12-20	TubSizeW_21-30	TubSizeW_31-40	TubSizeW_41-50	TubSizeW_51-60	TubSizeW_61-70	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-FIN04-1-110-A	2004-06-30	18	6	8														
WUR:CE-FIN04-1-110-B	2004-06-30	21	9	6.5														
WUR:CE-FIN04-1-110-C	2004-06-30	15	6	9														
WUR:CE-FIN04-1-111-A	2004-06-30	14	3	14														
WUR:CE-FIN04-1-111-B	2004-06-30	14	4	10														
WUR:CE-FIN04-1-111-C	2004-06-30	14	2	9														
WUR:CE-FIN04-1-112-A	2004-06-30	18	4	11														
WUR:CE-FIN04-1-112-B	2004-06-30	23	3	6.5														
WUR:CE-FIN04-1-112-C	2004-06-30	23	4	7.5														
WUR:CE-FIN04-1-113-A	2004-06-30	17	4	10.5														
WUR:CE-FIN04-1-113-B	2004-06-30	17	5	10.5														
WUR:CE-FIN04-1-113-C	2004-06-30	17	5	8.5														
WUR:CE-FIN04-1-114-A	2004-06-30	21	2	8.5														
WUR:CE-FIN04-1-114-B	2004-06-30	23	2	5														
WUR:CE-FIN04-1-114-C	2004-06-30	23	2	5														
WUR:CE-FIN04-1-115-A	2004-06-30	15	2	12.5														
WUR:CE-FIN04-1-115-B	2004-06-30	14	2	11.5														
WUR:CE-FIN04-1-115-C	2004-06-30	14	5	18														
WUR:CE-FIN04-1-116-A	2004-06-30	18	2	7														
WUR:CE-FIN04-1-116-B	2004-06-30	18	5	9														
WUR:CE-FIN04-1-116-C	2004-06-30	18	4	10														
WUR:CE-FIN04-1-117-A	2004-06-30	14	3	15.5														
WUR:CE-FIN04-1-117-B	2004-06-30	14	2	18.5														
WUR:CE-FIN04-1-117-C	2004-06-30	14	2	16														
WUR:CE-FIN04-1-118-A	2004-06-30	15	1	5														
WUR:CE-FIN04-1-118-B	2004-06-30	15	1	5														
WUR:CE-FIN04-1-118-C	2004-06-30	14	2	9														
WUR:CE-FIN04-1-119-A	2004-06-30	19	3	7.5														
WUR:CE-FIN04-1-119-B	2004-06-30	15	1	9.5														
WUR:CE-FIN04-1-119-C	2004-06-30	18	2	10.5														
WUR:CE-FIN04-1-120-A	2004-06-30	20	4	4														
WUR:CE-FIN04-1-120-B	2004-06-30	18	8	11.5														
WUR:CE-FIN04-1-120-C	2004-06-30	20	9	8														
WUR:CE-FIN04-1-121-A	2004-06-30	17	3	9														
WUR:CE-FIN04-1-121-B	2004-06-30	15	3	11.5														
WUR:CE-FIN04-1-121-C	2004-06-30	14	4	13														
WUR:CE-FIN04-1-122-A	2004-06-30	15	4	10														
WUR:CE-FIN04-1-122-B	2004-06-30	15	7	12														
WUR:CE-FIN04-1-122-C	2004-06-30	15	4	14														
WUR:CE-FIN04-1-123-A	2004-06-30	14	2	19														
WUR:CE-FIN04-1-123-B	2004-06-30	14	3	15														
WUR:CE-FIN04-1-123-C	2004-06-30	15	11	16														
WUR:CE-FIN04-1-124-A	2004-06-30	15	6	9														
WUR:CE-FIN04-1-124-B	2004-06-30	15	8	8														
WUR:CE-FIN04-1-124-C	2004-06-30	16	8	9														
WUR:CE-FIN04-1-125-A	2004-06-30	17	5	8.5														
WUR:CE-FIN04-1-125-B	2004-06-30	18	4	10.5														
WUR:CE-FIN04-1-125-C	2004-06-30	15	7	11														
WUR:CE-FIN04-1-126-A	2004-06-30	17	3	7														
WUR:CE-FIN04-1-126-B	2004-06-30	15	3	5														
WUR:CE-FIN04-1-126-C	2004-06-30	15	4	6														
WUR:CE-FIN04-1-127-A	2004-06-30	15	2	12														
WUR:CE-FIN04-1-127-B	2004-06-30	21	2	11														
WUR:CE-FIN04-1-127-C	2004-06-30	14	2	17														
WUR:CE-FIN04-1-128-A	2004-06-30	15	4	9														
WUR:CE-FIN04-1-128-B	2004-06-30	15	4	11														
WUR:CE-FIN04-1-128-C	2004-06-30	15	4	11.5														
WUR:CE-FIN04-1-129-A	2004-06-30	15	1	6														
WUR:CE-FIN04-1-129-B	2004-06-30	18	5	7.5														
WUR:CE-FIN04-1-129-C	2004-06-30	15	2	13.5														
WUR:CE-FIN04-1-130-A	2004-06-30	19	3	8.5														
WUR:CE-FIN04-1-130-B	2004-06-30	16	3	5														
WUR:CE-FIN04-1-130-C	2004-06-30	16	4	7														
WUR:CE-FIN04-1-131-A	2004-06-30	24	3	5														
WUR:CE-FIN04-1-131-B	2004-06-30																	
WUR:CE-FIN04-1-131-C	2004-06-30	24	4	5														
WUR:CE-FIN04-1-132-A	2004-06-30	19	5	7														
WUR:CE-FIN04-1-132-B	2004-06-30	18	5	7.5														
WUR:CE-FIN04-1-132-C	2004-06-30	18	3	7.5														
WUR:CE-FIN04-1-133-A	2004-06-30	21	1	6														
WUR:CE-FIN04-1-133-B	2004-06-30	18	1	11														
WUR:CE-FIN04-1-133-C	2004-06-30	18	3	10														
WUR:CE-FIN04-1-134-A	2004-06-30	18	7	7														
WUR:CE-FIN04-1-134-B	2004-06-30	17	4	10.5														
WUR:CE-FIN04-1-134-C	2004-06-30	17	8	8														
WUR:CE-FIN04-1-135-A	2004-06-30	19	3	10.5														
WUR:CE-FIN04-1-135-B	2004-06-30	19	2	7														
WUR:CE-FIN04-1-135-C	2004-06-30	20	4	8.5														
WUR:CE-FIN04-1-136-A	2004-06-30	20	3	10														
WUR:CE-FIN04-1-136-B	2004-06-30	18	4	11														
WUR:CE-FIN04-1-136-C	2004-06-30	18	3	11														
WUR:CE-FIN04-1-137-A	2004-06-30	18	4	9														
WUR:CE-FIN04-1-137-B	2004-06-30	21	4	4.5														
WUR:CE-FIN04-1-137-C	2004-06-30	21	4	9														
WUR:CE-FIN04-1-138-A	2004-06-30	19	6	8														
WUR:CE-FIN04-1-138-B	2004-06-30	19	4	8														
