Observation unit ID	Date	TubN_LT20	TubW_LT20	TubN_GE20	TubW_GE20	TubN_total_per_plant	TubW_total_per_plant
WUR:CE-ETH10-1-33-1	2010-12-01	2	8	10	375	12	383
WUR:CE-ETH10-1-33-2	2010-12-01	4	10	12	485	16	495
WUR:CE-ETH10-1-33-3	2010-12-01	3	10	14	585	17	595
WUR:CE-ETH10-1-33-4	2010-12-01	4	15	9	195	13	210
WUR:CE-ETH10-1-34-1	2010-12-01			6	130	6	130
WUR:CE-ETH10-1-34-2	2010-12-01	1	7	10	290	11	297
WUR:CE-ETH10-1-34-3	2010-12-01	7	60	15	380	22	440
WUR:CE-ETH10-1-34-4	2010-12-01	1	5	4	150	5	155
WUR:CE-ETH10-1-35-1	2010-12-01	3	15	15	420	18	435
WUR:CE-ETH10-1-35-2	2010-12-01	2	7	5	198	7	205
WUR:CE-ETH10-1-35-3	2010-12-01	3	10	15	425	18	435
WUR:CE-ETH10-1-35-4	2010-12-01	4	15	13	365	17	380
WUR:CE-ETH10-1-36-1	2010-12-01	15	72	17	395	32	467
WUR:CE-ETH10-1-36-2	2010-12-01	3	12	7	185	10	197
WUR:CE-ETH10-1-36-3	2010-12-01	8	20	1	6	9	26
WUR:CE-ETH10-1-36-4	2010-12-01	14	35	2	35	16	70
WUR:CE-ETH10-1-37-1	2010-12-01	5	15	8	195	13	210
WUR:CE-ETH10-1-37-2	2010-12-01	4	220	6	15	10	235
WUR:CE-ETH10-1-37-3	2010-12-01	9	320	3	12	12	332
WUR:CE-ETH10-1-37-4	2010-12-01	11	317	10	385	21	702
WUR:CE-ETH10-1-38-1	2010-12-01	20	180	10	160	30	340
WUR:CE-ETH10-1-38-2	2010-12-01	14	82	5	80	19	162
WUR:CE-ETH10-1-38-3	2010-12-01	11	90	12	285	23	375
WUR:CE-ETH10-1-38-4	2010-12-01	13	75	1	25	14	100
WUR:CE-ETH10-1-39-1	2010-12-01	4	10	9	197	13	207
WUR:CE-ETH10-1-39-2	2010-12-01	2	10	15	380	17	390
WUR:CE-ETH10-1-39-3	2010-12-01	3	10	13	205	16	215
WUR:CE-ETH10-1-39-4	2010-12-01	4	15	6	190	10	205
WUR:CE-ETH10-1-40-1	2010-12-01	4	12	7	195	11	207
WUR:CE-ETH10-1-40-2	2010-12-01	7	25	12	395	19	420
WUR:CE-ETH10-1-40-3	2010-12-01	7	35	13	335	20	370
WUR:CE-ETH10-1-40-4	2010-12-01	7	20	5	160	12	180
WUR:CE-ETH10-1-41-1	2010-12-01			9	395	9	395
WUR:CE-ETH10-1-41-2	2010-12-01	3	15	12	305	15	320
WUR:CE-ETH10-1-41-3	2010-12-01	2	8	8	185	10	193
WUR:CE-ETH10-1-41-4	2010-12-01	4	15	10	200	14	215
WUR:CE-ETH10-1-42-1	2010-12-01	8	35	15	395	23	430
WUR:CE-ETH10-1-42-2	2010-12-01	5	12	13	380	18	392
WUR:CE-ETH10-1-42-3	2010-12-01	6	20	14	290	20	310
WUR:CE-ETH10-1-42-4	2010-12-01	7	45	18	385	25	430
WUR:CE-ETH10-1-43-1	2010-12-01	10	35	14	595	24	630
WUR:CE-ETH10-1-43-2	2010-12-01	3	10	8	180	11	190
WUR:CE-ETH10-1-43-3	2010-12-01	8	25	12	395	20	420
WUR:CE-ETH10-1-43-4	2010-12-01	3	15	12	385	15	400
WUR:CE-ETH10-1-44-1	2010-12-01	3	10	6	200	9	210
WUR:CE-ETH10-1-44-2	2010-12-01	5	40	7	225	12	265
WUR:CE-ETH10-1-44-3	2010-12-01	3	22	4	235	7	257
WUR:CE-ETH10-1-44-4	2010-12-01	3	25	10	390	13	415
WUR:CE-ETH10-1-45-1	2010-12-01	7	45	10	320	17	365
WUR:CE-ETH10-1-45-2	2010-12-01	7	25	9	370	16	395
WUR:CE-ETH10-1-45-3	2010-12-01	4	20	18	445	22	465
WUR:CE-ETH10-1-45-4	2010-12-01					0	0
WUR:CE-ETH10-1-46-1	2010-12-01	4	15	7	145	11	160
WUR:CE-ETH10-1-46-2	2010-12-01	5	30	7	160	12	190
WUR:CE-ETH10-1-46-3	2010-12-01	2	10	9	220	11	230
WUR:CE-ETH10-1-46-4	2010-12-01	4	15	4	95	8	110
WUR:CE-ETH10-1-47-1	2010-12-01	6	15	19	575	25	590
WUR:CE-ETH10-1-47-2	2010-12-01	37	175	28	660	65	835
WUR:CE-ETH10-1-47-3	2010-12-01	11	25	25	625	36	650
WUR:CE-ETH10-1-47-4	2010-12-01	10	20	13	245	23	265
WUR:CE-ETH10-1-48-1	2010-12-01	16	45	25	585	41	630
